answerKey,question
A,A revolving door is convenient for two direction travel but it also serves as a security measure at a what? A. Bank B. Library C. Department store D. Mall E. New york
A,What do people aim to do at work? A. complete job B. learn from each other C. kill animals D. wear hats E. talk to each other
B,Where would you find magazines along side many other printed works? A. doctor B. book store C. market D. train station E. mortuary
A,Where are  you likely to find a hamburger? A. fast food restaurant B. pizza C. ground up dead cows D. moth E. cow carcas
A,James was looking for a good place to buy farmland. Where might he look? A. Midwest B. countryside C. estate D. farming areas E. Illinois
C,What island country is ferret popular? A. own home B. North Carolina C. Great Britain D. hutch E. outdoors
B,In what Spanish speaking North American country can you get a great cup of coffee? A. Mildreds coffee shop B. Mexico C. dine D. kitchen E. canteen
D,What do animals do when an enemy is approaching? A. feel pleasure B. procreate C. pass water D. listen to each other E. sing
A,Reading newspaper one of many ways to practice your what? A. literacy B. knowing how to read C. money buying D. money E. bank
C,What do people typically do while playing guitar? A. cry B. hear sounds C. sing D. arthritis E. make music
E,What would vinyl be an odd thing to replace? A. pants B. record albums C. record store D. cheese E. wallpaper
D,If you want harmony; what is something you should try to do with the world? A. take time B. make noise C. make war D. make peace E. make haste
A,Where does a heifers master live? A. farm house B. barnyard C. stockyard D. slaughter house E. eat cake
D,Aside from water and nourishment what does your dog need? A. bone B. charm C. petted D. lots of attention E. walked
C,Janet was watching the film because she liked what? A. erection B. laughter C. being entertained D.fear E.boredom
D,What are you waiting alongside with when you are in a reception area? A. motel B.chair C.hospital D.people E.hotels
D,When drinking booze what can you do to stay busy? A. reach tentative agreement B.stay in bed C.stop bicycle D.examine thing E.suicide
E,A fencing thrust with a sharp sword towards a person would result in what? A. injury B.small cuts C.fever D.competition E.puncture wound
E,Unlike a spider and his many sight seers; people only have what? A. tongues B.names C.brains D.feelings E.two eyes
D,Where do adults use glue sticks? A. classroom B.desk drawer C.at school D.office E.kitchen drawer
D,What could go on top of wood? A. lumberyard B.synagogue C.floor D.carpet E.hardware store
C,The artist was sitting quietly pondering; then suddenly he began to paint when what struck him? A. sadness B. anxiety C. inspiration D. discomfort E. insights
D,Though the thin film seemed fragile; for its intended purpose it was actually nearly what? A. undamageable B. durable C. undestroyable D. indestructible E. unbreakable
D,Where could you find a toilet that only friends can use? A. rest area B. school C. stadium D. apartment E. hospital
E,What is someone who isnt clever or bright or competent called? A. clumsy B. ineffectual C. ill D. clumsy E. stupid
D,When wildlife reproduce we often refer to what comes out as what? A. raise children B. have children C. photo copy D. offspring E. accidentally got pregnant somehow
B,The weasel was becoming a problem; it kept getting into the chicken eggs kept in the what? A. forest B. barn C. public office D. lot of doors E. freezer
A,Blue read material outside of his comfort zone because he wanted to gain what? A. new perspective B. entertained C. understanding D. hunger E. tired eyes
B,After he got hired he hoped for success at his what? A. vocation B. new job C. Michigan D. working hard E. manual
B,Committing perjury is a serious what? A. indictment B. crime C. violence D. lie E. go to jail
B,If you are prone to postpone work what will you have to do in order to finish on time? A. eat B. hasten C. antedate D. bing forward E. advance
A,James wanted to find an old underground map from the 50s.  Where might he look for one? A. library B. subway station C. county engineers office D. super market E. home
E,Sean was in a rush to get home; but the light turned yellow and he was forced to do what? A. take time B. dawdle C. go slowly D. ocean E. slow down
D,Where would a person be doing when having to wait their turn? A. have patience B. get in line C. sing D. stand in line E. turn left
E,She was always helping at the senior center; it brought her what? A. satisfaction B. heart C. feel better D. pay E. happiness
C,The lock kept the steering wheel from moving; but the thief still took his chances and began to work on the what? A. keep closed B. train C. ignition switch D. drawer E. firearm
C,Who is a police officer likely to work for? A. beat B. direct traffic C. city D. street E. president
B,If you have leftover cake; where would you put it? A. quandary B. refrigerator C. oven D.night stand E. bakery
A,A human wants to submerge himself in water; what should he use? A. whirlpool bath B. coffee cup C. soft drink bottle D. puddle E. wine glass
B,Where is a doormat likely to be in front of? A. facade B. front door C. doorway D. entrance porch E. hallway
